"idDado";"procFisico";"procLogico";"freqCPU";"percUso";"particoes";"totalDisco";"usoAtualDisco";"percUsoDisco";"ramTotal";"usoAtualRam";"percUsoRam";"dataHora"
1;4;8;1838.809625;99.5;29;255.52;119.63;46.9;8.06;4.43;69.3;"2023-09-18 12:44:54"
2;4;8;670.91825;98.0;29;255.52;119.63;46.9;8.06;4.42;69.1;"2023-09-18 12:44:55"
3;4;8;829.2681249999999;98.7;29;255.52;119.63;46.9;8.06;4.34;68.1;"2023-09-18 12:44:56"
4;4;8;645.568;99.4;29;255.52;119.63;46.9;8.06;4.34;67.8;"2023-09-18 12:44:57"
5;4;8;849.217875;99.7;29;255.52;119.63;46.9;8.06;4.34;67.8;"2023-09-18 12:44:58"
6;4;8;703.89475;99.6;29;255.52;119.63;46.9;8.06;4.34;67.8;"2023-09-18 12:44:59"
7;4;8;670.96125;99.2;29;255.52;119.63;46.9;8.06;4.34;67.8;"2023-09-18 12:45:00"
8;4;8;785.229125;99.5;29;255.52;119.63;46.9;8.06;4.34;67.8;"2023-09-18 12:45:01"
9;4;8;1032.3642499999999;99.0;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:02"
10;4;8;823.254375;96.7;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:03"
11;4;8;1087.658375;97.6;29;255.52;119.63;46.9;8.06;4.33;68.0;"2023-09-18 12:45:04"
12;4;8;1375.2618750000001;98.1;29;255.52;119.63;46.9;8.06;4.33;68.0;"2023-09-18 12:45:05"
13;4;8;1186.328875;99.1;29;255.52;119.63;46.9;8.06;4.33;68.0;"2023-09-18 12:45:06"
14;4;8;827.3518750000001;98.4;29;255.52;119.63;46.9;8.06;4.33;67.8;"2023-09-18 12:45:07"
15;4;8;1589.33925;98.9;29;255.52;119.63;46.9;8.06;4.32;67.7;"2023-09-18 12:45:08"
16;4;8;784.6985;99.9;29;255.52;119.63;46.9;8.06;4.31;67.3;"2023-09-18 12:45:09"
17;4;8;841.8467499999999;98.5;29;255.52;119.63;46.9;8.06;4.31;67.4;"2023-09-18 12:45:10"
18;4;8;2204.52075;98.1;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:11"
19;4;8;948.87475;99.5;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:12"
20;4;8;735.965;99.8;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:13"
21;4;8;588.757875;99.7;29;255.52;119.63;46.9;8.06;4.34;67.6;"2023-09-18 12:45:14"
22;4;8;764.942;99.6;29;255.52;119.63;46.9;8.06;4.34;67.6;"2023-09-18 12:45:15"
23;4;8;583.0833749999999;99.5;29;255.52;119.63;46.9;8.06;4.34;67.6;"2023-09-18 12:45:16"
24;4;8;789.0903750000001;99.5;29;255.52;119.63;46.9;8.06;4.34;67.6;"2023-09-18 12:45:17"
25;4;8;865.231375;98.7;29;255.52;119.63;46.9;8.06;4.34;67.6;"2023-09-18 12:45:18"
26;4;8;1955.4040000000002;99.6;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:19"
27;4;8;761.1065;97.6;29;255.52;119.63;46.9;8.06;4.33;68.0;"2023-09-18 12:45:20"
28;4;8;647.994;99.4;29;255.52;119.63;46.9;8.06;4.33;68.0;"2023-09-18 12:45:21"
29;4;8;624.4941249999999;99.6;29;255.52;119.63;46.9;8.06;4.34;68.0;"2023-09-18 12:45:22"
30;4;8;684.433;99.6;29;255.52;119.63;46.9;8.06;4.34;68.0;"2023-09-18 12:45:23"
31;4;8;695.567375;99.5;29;255.52;119.63;46.9;8.06;4.33;67.9;"2023-09-18 12:45:24"
32;4;8;562.549375;99.6;29;255.52;119.63;46.9;8.06;4.33;67.9;"2023-09-18 12:45:25"
33;4;8;608.1376250000001;97.2;29;255.52;119.63;46.9;8.06;4.32;67.9;"2023-09-18 12:45:26"
34;4;8;1401.4362499999997;99.9;29;255.52;119.63;46.9;8.06;4.32;67.9;"2023-09-18 12:45:27"
35;4;8;664.75625;99.9;29;255.52;119.63;46.9;8.06;4.33;67.9;"2023-09-18 12:45:28"
36;4;8;610.9892500000001;99.9;29;255.52;119.63;46.9;8.06;4.33;67.8;"2023-09-18 12:45:29"
37;4;8;755.5275;99.9;29;255.52;119.63;46.9;8.06;4.33;67.8;"2023-09-18 12:45:30"
38;4;8;707.415875;99.9;29;255.52;119.63;46.9;8.06;4.32;67.5;"2023-09-18 12:45:31"
39;4;8;810.02875;99.9;29;255.52;119.63;46.9;8.06;4.32;67.5;"2023-09-18 12:45:32"
40;4;8;923.659375;99.9;29;255.52;119.63;46.9;8.06;4.32;67.5;"2023-09-18 12:45:33"
41;4;8;740.870625;97.9;29;255.52;119.63;46.9;8.06;4.31;67.4;"2023-09-18 12:45:34"
42;4;8;761.6822500000001;99.7;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:35"
43;4;8;951.3448749999999;99.3;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:36"
44;4;8;993.4965;99.8;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:37"
45;4;8;950.924625;99.0;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:38"
46;4;8;945.517125;99.9;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:39"
47;4;8;583.393125;100.0;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:40"
48;4;8;611.3631250000001;100.0;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:41"
49;4;8;567.093875;98.2;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:42"
50;4;8;573.8217500000001;99.9;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:43"
51;4;8;586.8050000000001;99.7;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:44"
52;4;8;588.215625;99.9;29;255.52;119.63;46.9;8.06;4.32;67.4;"2023-09-18 12:45:45"
53;4;8;601.3778750000001;99.9;29;255.52;119.63;46.9;8.06;4.32;67.5;"2023-09-18 12:45:46"
54;4;8;715.23425;99.7;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:47"
55;4;8;590.762375;99.9;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:48"
56;4;8;494.991875;100.0;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:49"
57;4;8;752.950625;98.1;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:50"
58;4;8;772.0563749999999;99.7;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:51"
59;4;8;574.64025;99.6;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:52"
60;4;8;492.01775;99.5;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:53"
61;4;8;1096.27375;99.5;29;255.52;119.63;46.9;8.06;4.34;67.7;"2023-09-18 12:45:54"
62;4;8;582.3315;99.6;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:55"
63;4;8;733.8876250000001;98.7;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:56"
64;4;8;685.1047500000001;99.9;29;255.52;119.63;46.9;8.06;4.33;67.6;"2023-09-18 12:45:57"
65;4;8;518.1816249999999;96.7;29;255.52;119.63;46.9;8.06;4.32;67.8;"2023-09-18 12:45:58"
66;4;8;813.8476250000001;99.4;29;255.52;119.63;46.9;8.06;4.33;67.8;"2023-09-18 12:45:59"
67;4;8;674.211125;96.1;29;255.52;119.63;46.9;8.06;4.32;70.5;"2023-09-18 12:46:00"
68;4;8;662.158625;98.7;29;255.52;119.63;46.9;8.06;4.29;70.1;"2023-09-18 12:46:01"
69;4;8;2415.9431250000002;98.6;29;255.52;119.63;46.9;8.06;4.31;70.3;"2023-09-18 12:46:02"
70;4;8;624.0005;99.6;29;255.52;119.63;46.9;8.06;4.31;70.1;"2023-09-18 12:46:03"
71;4;8;1472.0831249999999;93.6;29;255.52;119.63;46.9;8.06;4.38;69.2;"2023-09-18 12:46:04"
72;4;8;2220.5375;91.1;29;255.52;119.63;46.9;8.06;4.5;71.6;"2023-09-18 12:46:05"
73;4;8;1152.906;93.5;29;255.52;119.63;46.9;8.06;4.49;71.7;"2023-09-18 12:46:06"
74;4;8;1921.6883749999997;95.9;29;255.52;119.63;46.9;8.06;4.55;72.5;"2023-09-18 12:46:07"
75;4;8;2180.4513749999996;97.0;29;255.52;119.63;46.9;8.06;4.55;72.5;"2023-09-18 12:46:08"
76;4;8;763.106875;99.4;29;255.52;119.63;46.9;8.06;4.55;72.5;"2023-09-18 12:46:09"
77;4;8;1968.833875;99.0;29;255.52;119.63;46.9;8.06;4.55;72.5;"2023-09-18 12:46:10"
78;4;8;738.215875;99.8;29;255.52;119.63;46.9;8.06;4.56;72.5;"2023-09-18 12:46:11"
79;4;8;1203.70825;98.9;29;255.52;119.63;46.9;8.06;4.53;72.2;"2023-09-18 12:46:12"
80;4;8;1156.91275;99.4;29;255.52;119.63;46.9;8.06;4.53;72.1;"2023-09-18 12:46:13"
81;4;8;948.607625;96.3;29;255.52;119.63;46.9;8.06;4.52;72.0;"2023-09-18 12:46:14"
82;4;8;725.114;99.1;29;255.52;119.63;46.9;8.06;4.51;72.0;"2023-09-18 12:46:15"
83;4;8;1247.2;99.0;29;255.52;119.63;46.9;8.06;4.5;71.8;"2023-09-18 12:46:16"
84;4;8;653.4606249999999;99.4;29;255.52;119.63;46.9;8.06;4.5;71.7;"2023-09-18 12:46:17"
85;4;8;767.6324999999999;99.7;29;255.52;119.63;46.9;8.06;4.5;71.8;"2023-09-18 12:46:18"
86;4;8;685.5405;98.3;29;255.52;119.63;46.9;8.06;4.5;71.8;"2023-09-18 12:46:19"
87;4;8;1160.173;98.8;29;255.52;119.63;46.9;8.06;4.49;71.8;"2023-09-18 12:46:20"
88;4;8;1592.458375;99.0;29;255.52;119.63;46.9;8.06;4.5;71.9;"2023-09-18 12:46:21"
89;4;8;700.139625;97.4;29;255.52;119.63;46.9;8.06;4.48;71.7;"2023-09-18 12:46:22"
90;4;8;765.504875;98.5;29;255.52;119.63;46.9;8.06;4.49;71.8;"2023-09-18 12:46:23"
91;4;8;1319.988625;99.4;29;255.52;119.63;46.9;8.06;4.49;71.8;"2023-09-18 12:46:24"
92;4;8;663.9070000000002;98.4;29;255.52;119.63;46.9;8.06;4.5;72.0;"2023-09-18 12:46:25"
93;4;8;510.86075;98.8;29;255.52;119.63;46.9;8.06;4.5;72.0;"2023-09-18 12:46:26"
94;4;8;1741.9060000000002;97.7;29;255.52;119.63;46.9;8.06;4.52;72.2;"2023-09-18 12:46:27"
95;4;8;783.0283750000001;97.2;29;255.52;119.63;46.9;8.06;4.54;72.7;"2023-09-18 12:46:28"
96;4;8;1500.218625;97.1;29;255.52;119.63;46.9;8.06;4.54;72.7;"2023-09-18 12:46:29"
97;4;8;1409.4005000000002;90.2;29;255.52;119.63;46.9;8.06;4.54;75.9;"2023-09-18 12:46:30"
98;4;8;1118.016625;97.8;29;255.52;119.63;46.9;8.06;4.54;75.3;"2023-09-18 12:46:31"
99;4;8;1237.925125;97.5;29;255.52;119.63;46.9;8.06;4.55;75.4;"2023-09-18 12:46:32"
100;4;8;1252.329625;98.6;29;255.52;119.63;46.9;8.06;4.56;75.4;"2023-09-18 12:46:33"
101;4;8;1104.395375;98.6;29;255.52;119.63;46.9;8.06;4.56;75.1;"2023-09-18 12:46:35"
102;4;8;1161.05375;99.0;29;255.52;119.63;46.9;8.06;4.57;75.2;"2023-09-18 12:46:36"
103;4;8;1205.884875;99.1;29;255.52;119.63;46.9;8.06;4.57;74.9;"2023-09-18 12:46:37"
104;4;8;969.859875;99.0;29;255.52;119.63;46.9;8.06;4.55;74.7;"2023-09-18 12:46:38"
105;4;8;1235.825875;96.3;29;255.52;119.63;46.9;8.06;4.55;74.5;"2023-09-18 12:46:39"
106;4;8;979.164125;98.4;29;255.52;119.63;46.9;8.06;4.54;74.4;"2023-09-18 12:46:40"
107;4;8;980.258625;98.9;29;255.52;119.63;46.9;8.06;4.55;74.4;"2023-09-18 12:46:41"
108;4;8;1151.528375;98.4;29;255.52;119.63;46.9;8.06;4.54;74.3;"2023-09-18 12:46:42"
109;4;8;884.3021249999999;99.0;29;255.52;119.63;46.9;8.06;4.54;74.4;"2023-09-18 12:46:43"
110;4;8;1005.3273750000001;99.0;29;255.52;119.63;46.9;8.06;4.54;74.4;"2023-09-18 12:46:44"
111;4;8;1049.788125;98.9;29;255.52;119.63;46.9;8.06;4.53;74.0;"2023-09-18 12:46:45"
112;4;8;1400.3172499999998;97.7;29;255.52;119.63;46.9;8.06;4.54;74.4;"2023-09-18 12:46:46"
113;4;8;958.890875;94.9;29;255.52;119.63;46.9;8.06;4.56;75.8;"2023-09-18 12:46:47"
114;4;8;1863.109625;94.6;29;255.52;119.63;46.9;8.06;4.55;71.6;"2023-09-18 12:46:48"
115;4;8;1938.83175;97.6;29;255.52;119.63;46.9;8.06;4.56;71.9;"2023-09-18 12:46:49"
116;4;8;1780.0299999999997;97.5;29;255.52;119.63;46.9;8.06;4.58;72.5;"2023-09-18 12:46:50"
117;4;8;1384.3808749999998;95.6;29;255.52;119.63;46.9;8.06;4.59;72.3;"2023-09-18 12:46:51"
118;4;8;1887.705375;96.8;29;255.52;119.63;46.9;8.06;4.6;72.5;"2023-09-18 12:46:52"
119;4;8;1009.0343750000001;99.3;29;255.52;119.63;46.9;8.06;4.61;72.5;"2023-09-18 12:46:53"
120;4;8;1226.0030000000002;98.6;29;255.52;119.63;46.9;8.06;4.61;72.5;"2023-09-18 12:46:54"
121;4;8;873.29475;97.9;29;255.52;119.63;46.9;8.06;4.6;72.4;"2023-09-18 12:46:55"
122;4;8;602.8330000000001;99.4;29;255.52;119.63;46.9;8.06;4.57;71.8;"2023-09-18 12:46:56"
123;4;8;1661.58475;98.5;29;255.52;119.63;46.9;8.06;4.57;71.6;"2023-09-18 12:46:57"
124;4;8;849.0841250000001;99.9;29;255.52;119.63;46.9;8.06;4.57;71.5;"2023-09-18 12:46:58"
125;4;8;602.663625;99.6;29;255.52;119.63;46.9;8.06;4.57;71.5;"2023-09-18 12:46:59"
126;4;8;581.0725;99.1;29;255.52;119.63;46.9;8.06;4.57;71.5;"2023-09-18 12:47:00"
127;4;8;1651.72675;98.4;29;255.52;119.63;46.9;8.06;4.57;71.5;"2023-09-18 12:47:01"
128;4;8;503.71862500000003;99.2;29;255.52;119.63;46.9;8.06;4.57;71.5;"2023-09-18 12:47:02"
129;4;8;1043.511;97.6;29;255.52;119.63;46.9;8.06;4.56;71.4;"2023-09-18 12:47:03"
130;4;8;707.0815;99.9;29;255.52;119.63;46.9;8.06;4.56;71.4;"2023-09-18 12:47:04"
131;4;8;678.944375;99.6;29;255.52;119.63;46.9;8.06;4.56;71.4;"2023-09-18 12:47:05"
132;4;8;717.76325;99.6;29;255.52;119.63;46.9;8.06;4.56;71.4;"2023-09-18 12:47:06"
133;4;8;739.657;98.5;29;255.52;119.63;46.9;8.06;4.58;71.6;"2023-09-18 12:47:07"
134;4;8;2290.2715000000003;97.1;29;255.52;119.63;46.9;8.06;4.58;71.8;"2023-09-18 12:47:08"
135;4;8;1562.2214999999997;98.3;29;255.52;119.63;46.9;8.06;4.6;72.0;"2023-09-18 12:47:09"
136;4;8;884.43075;99.1;29;255.52;119.63;46.9;8.06;4.6;72.0;"2023-09-18 12:47:10"
137;4;8;1523.3255;97.1;29;255.52;119.63;46.9;8.06;4.6;72.0;"2023-09-18 12:47:11"
138;4;8;2154.66675;98.5;29;255.52;119.63;46.9;8.06;4.6;72.0;"2023-09-18 12:47:12"
139;4;8;1235.3867500000001;98.4;29;255.52;119.63;46.9;8.06;4.58;71.8;"2023-09-18 12:47:13"
140;4;8;704.1742499999999;99.1;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:14"
141;4;8;750.43175;99.9;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:15"
142;4;8;574.8705;99.6;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:16"
143;4;8;599.87925;99.9;29;255.52;119.63;46.9;8.06;4.57;71.7;"2023-09-18 12:47:17"
144;4;8;600.3847499999999;99.9;29;255.52;119.63;46.9;8.06;4.57;71.7;"2023-09-18 12:47:18"
145;4;8;792.9147499999999;98.2;29;255.52;119.63;46.9;8.06;4.56;71.5;"2023-09-18 12:47:19"
146;4;8;754.0351250000001;99.4;29;255.52;119.63;46.9;8.06;4.57;71.6;"2023-09-18 12:47:20"
147;4;8;777.6804999999999;99.0;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:21"
148;4;8;1202.444;98.1;29;255.52;119.63;46.9;8.06;4.57;71.7;"2023-09-18 12:47:22"
149;4;8;1253.132125;99.0;29;255.52;119.63;46.9;8.06;4.57;71.7;"2023-09-18 12:47:23"
150;4;8;1085.0475;99.4;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:24"
151;4;8;906.0963750000001;98.8;29;255.52;119.63;46.9;8.06;4.58;71.7;"2023-09-18 12:47:25"
152;4;8;1057.469125;98.6;29;255.52;119.63;46.9;8.06;4.59;71.8;"2023-09-18 12:47:26"
153;4;8;2211.5416250000003;96.3;29;255.52;119.63;46.9;8.06;4.62;72.2;"2023-09-18 12:47:27"
154;4;8;1447.3890000000001;98.7;29;255.52;119.63;46.9;8.06;4.63;72.4;"2023-09-18 12:47:28"
155;4;8;1598.296875;99.0;29;255.52;119.63;46.9;8.06;4.63;72.4;"2023-09-18 12:47:29"
156;4;8;1116.016;98.6;29;255.52;119.63;46.9;8.06;4.63;72.4;"2023-09-18 12:47:30"
157;4;8;900.6901250000002;98.7;29;255.52;119.63;46.9;8.06;4.68;72.9;"2023-09-18 12:47:31"
158;4;8;1080.2767500000002;98.1;29;255.52;119.63;46.9;8.06;4.67;72.8;"2023-09-18 12:47:32"
159;4;8;1734.834;98.6;29;255.52;119.63;46.9;8.06;4.67;72.8;"2023-09-18 12:47:33"
160;4;8;1046.4813749999998;96.6;29;255.52;119.63;46.9;8.06;4.68;73.8;"2023-09-18 12:47:34"
161;4;8;1848.3145000000004;95.6;29;255.52;119.63;46.9;8.06;4.67;73.8;"2023-09-18 12:47:35"
162;4;8;755.4406250000001;98.5;29;255.52;119.63;46.9;8.06;4.68;73.9;"2023-09-18 12:47:36"
163;4;8;530.015875;99.5;29;255.52;119.63;46.9;8.06;4.68;73.9;"2023-09-18 12:47:37"
164;4;8;675.352625;99.5;29;255.52;119.63;46.9;8.06;4.68;73.8;"2023-09-18 12:47:38"
165;4;8;1158.469125;98.1;29;255.52;119.63;46.9;8.06;4.68;73.8;"2023-09-18 12:47:39"
166;4;8;1023.356625;97.9;29;255.52;119.63;46.9;8.06;4.69;73.8;"2023-09-18 12:47:40"
167;4;8;1809.38925;98.2;29;255.52;119.63;46.9;8.06;4.66;73.6;"2023-09-18 12:47:41"
168;4;8;1238.412875;98.9;29;255.52;119.63;46.9;8.06;4.67;73.6;"2023-09-18 12:47:42"
169;4;8;1035.028875;95.2;29;255.52;119.63;46.9;8.06;4.66;73.6;"2023-09-18 12:47:43"
170;4;8;2022.18675;96.7;29;255.52;119.63;46.9;8.06;4.68;74.0;"2023-09-18 12:47:44"
171;4;8;1509.71125;98.6;29;255.52;119.63;46.9;8.06;4.68;74.0;"2023-09-18 12:47:45"
172;4;8;1649.5389999999998;99.2;29;255.52;119.63;46.9;8.06;4.65;73.7;"2023-09-18 12:47:46"
173;4;8;1315.3508749999999;99.5;29;255.52;119.63;46.9;8.06;4.64;73.6;"2023-09-18 12:47:47"
174;4;8;793.5043750000001;99.7;29;255.52;119.63;46.9;8.06;4.64;73.6;"2023-09-18 12:47:48"
175;4;8;520.1975;99.5;29;255.52;119.63;46.9;8.06;4.64;73.5;"2023-09-18 12:47:49"
176;4;8;1368.0723750000002;98.2;29;255.52;119.63;46.9;8.06;4.65;73.6;"2023-09-18 12:47:50"
177;4;8;1173.01025;96.1;29;255.52;119.63;46.9;8.06;4.64;73.5;"2023-09-18 12:47:51"
178;4;8;532.6655;98.6;29;255.52;119.63;46.9;8.06;4.65;73.6;"2023-09-18 12:47:52"
179;4;8;581.112125;98.7;29;255.52;119.63;46.9;8.06;4.65;73.6;"2023-09-18 12:47:53"
180;4;8;1763.524625;98.1;29;255.52;119.63;46.9;8.06;4.65;73.7;"2023-09-18 12:47:54"
181;4;8;1101.33;97.3;29;255.52;119.63;46.9;8.06;4.66;73.7;"2023-09-18 12:47:55"
182;4;8;1112.857;97.5;29;255.52;119.63;46.9;8.06;4.66;73.8;"2023-09-18 12:47:56"
183;4;8;917.3984999999999;98.7;29;255.52;119.63;46.9;8.06;4.67;73.9;"2023-09-18 12:47:57"
184;4;8;849.1011250000001;98.4;29;255.52;119.63;46.9;8.06;4.67;73.8;"2023-09-18 12:47:58"
185;4;8;909.9805;96.4;29;255.52;119.63;46.9;8.06;4.68;74.2;"2023-09-18 12:47:59"
186;4;8;916.734375;96.8;29;255.52;119.63;46.9;8.06;4.72;74.7;"2023-09-18 12:48:00"
187;4;8;928.8186250000001;99.7;29;255.52;119.63;46.9;8.06;4.72;74.7;"2023-09-18 12:48:01"
188;4;8;589.2294999999999;99.5;29;255.52;119.63;46.9;8.06;4.69;74.3;"2023-09-18 12:48:02"
189;4;8;530.6168749999999;99.4;29;255.52;119.63;46.9;8.06;4.69;74.3;"2023-09-18 12:48:03"
190;4;8;695.8240000000001;99.2;29;255.52;119.63;46.9;8.06;4.68;74.1;"2023-09-18 12:48:04"
191;4;8;1300.702125;98.1;29;255.52;119.63;46.9;8.06;4.71;74.1;"2023-09-18 12:48:05"
192;4;8;985.8997499999999;99.2;29;255.52;119.63;46.9;8.06;4.72;74.4;"2023-09-18 12:48:06"
193;4;8;818.706;97.4;29;255.52;119.63;46.9;8.06;4.71;74.5;"2023-09-18 12:48:07"
194;4;8;521.645875;99.0;29;255.52;119.63;46.9;8.06;4.71;74.5;"2023-09-18 12:48:08"
195;4;8;2236.9887499999995;98.5;29;255.52;119.63;46.9;8.06;4.72;74.3;"2023-09-18 12:48:09"
196;4;8;591.748875;99.6;29;255.52;119.63;46.9;8.06;4.73;74.3;"2023-09-18 12:48:10"
197;4;8;1663.6336250000002;99.4;29;255.52;119.63;46.9;8.06;4.73;74.4;"2023-09-18 12:48:11"
198;4;8;1952.1945;98.9;29;255.52;119.63;46.9;8.06;4.74;74.6;"2023-09-18 12:48:12"
199;4;8;1817.01125;95.9;29;255.52;119.63;46.9;8.06;4.76;75.0;"2023-09-18 12:48:13"
200;4;8;2013.4128750000002;96.4;29;255.52;119.63;46.9;8.06;4.77;75.1;"2023-09-18 12:48:14"
